English,French,Frequency Replaced
abide,respecter,29
about,sur,350
above,au dessus,115
abroad,à l'étranger,20
absence,absence,34
abuse,abuser de,25
according,selon,44
account,Compte,31
accuse,accuser,34
acquainted,connaissance,36
action,action,69
advantage,avantage,52
advice,Conseil,19
affairs,affaires,39
affection,affection,40
affections,affections,24
afraid,peur,25
after,après,346
afterwards,ensuite,29
again,encore,247
alive,vivant,39
almost,presque,156
alone,seul,83
along,le long de,61
already,déjà,69
although,bien que,73
always,toujours,59
ambition,ambition,18
ancient,ancien,64
angel,ange,35
anger,colère,31
another,un autre,330
answer,répondre,272
anything,n'importe quoi,68
apparel,vêtements,25
appear,apparaître,94
appears,apparaît,40
approach,approche,35
argument,argument,38
ariel,Ariel,12
armour,armure,27
aside,de côté,24
asleep,endormi,13
assure,assurer,49
athens,Athènes,36
attend,assister,100
attended,assisté,31
authority,autorité,30
avoid,éviter,25
awake,éveillé,31
awhile,quelque temps,23
banish,bannir,35
barren,Dénudé,33
bassianus,bassianus,17
bastard,Connard,66
battle,bataille,68
beard,barbe,40
bearing,palier,62
bears,ours,85
beast,la bête,36
beaten,battu,34
beauty,beauté,139
because,car,182
become,devenir,134
bedford,Bedford,6
before,avant,689
beggar,mendiant,26
begin,commencer,75
behalf,nom,24
behind,derrière,78
behold,voir,117
being,étant,640
believe,croyez,209
belike,être comme,28
below,au dessous de,31
benefit,avantage,29
besides,outre,39
betray,trahir,36
better,mieux,501
between,entre,229
beyond,au-delà,57
birth,naissance,30
bishop,évêque,39
bitter,amer,65
black,noir,122
blame,faire des reproches,56
bless,bénir,103
blessing,bénédiction,27
blest,heureux,39
blind,aveugle,51
blood,du sang,344
blows,coups,40
blunt,cru,25
blush,rougir,32
bodies,corps,30
bones,des os,37
borne,supporté,63
bottom,bas,33
bought,acheté,42
bound,lié,133
bounty,prime,22
brain,cerveau,43
brains,cerveaux,22
brave,courageux,148
breast,Sein,35
breath,souffle,116
breed,race,41
brief,bref,39
bright,brillant,52
bring,apporter,435
broke,cassé,73
brook,ruisseau,32
brother,frère,269
brought,apporté,188
brows,sourcils,21
burden,fardeau,27
buried,enterré,38
burning,brûlant,37
business,Entreprise,130
cannot,ne peux pas,719
capitol,Capitole,8
captain,capitaine,72
cardinal,cardinal,45
cares,se soucie,26
carry,porter,81
castle,Château,35
catch,capture,57
cause,cause,208
cease,cesser,29
certain,certain,121
chain,chaîne,31
chair,chaise,16
challenge,défi,35
chamber,chambre,48
chance,chance,70
change,changement,121
charge,charge,131
charity,charité,23
chaste,chaste,26
cheek,joue,38
cheer,acclamation,43
chide,gronder,39
chief,chef,105
child,enfant,105
choice,choix,36
church,église,22
cinna,cinna,4
citizen,citoyenne,8
civil,civil,43
claim,prétendre,50
clarence,clarté,43
claud,claud,0
claudio,Claudio,43
clear,clair,44
clifford,Clifford,31
close,proche,69
cloten,cailloter,13
clothes,vêtements,22
clouds,des nuages,36
clown,pitre,39
college,Université,224
colour,Couleur,47
comes,vient,513
comfort,confort,115
coming,venir,82
cominius,cominius,17
command,commander,98
commanded,commandé,29
commend,saluer,83
commercial,commercial,221
commission,commission,27
commit,commettre,34
common,commun,137
companion,un compagnon,19
company,entreprise,73
complete,Achevée,241
complexion,complexion,23
condition,état,31
conduct,conduite,42
confess,avouer,90
conscience,conscience,62
consent,consentement,56
consider,considérer,40
constable,gendarme,17
constant,constant,37
contempt,mépris,22
content,contenu,85
contrary,contraire,20
copies,copies,445
copyright,droits d'auteur,228
could,pourrait,603
council,conseil,29
counsel,Conseil,66
count,compter,79
counterfeit,contrefaire,28
countess,comtesse,17
country,pays,80
courage,courage,34
course,cours,100
court,tribunal,113
courtesy,courtoisie,18
cousin,cousin,109
coward,lâche,37
crave,demander,40
creature,créature,35
credit,crédit,30
cromwell,Cromwell,5
cross,traverser,47
crown,couronne,123
cruel,cruel,55
cunning,ruse,58
cupid,Cupidon,26
curse,malédiction,70
custom,Douane,24
dagger,dague,24
damned,damné,44
dance,Danse,35
danger,danger,56
darkness,obscurité,24
daughter,fille,193
deadly,mortel,42
dearest,très cher,51
dearly,chèrement,20
death,décès,357
deeds,actes,71
defend,défendre,61
degree,diplôme,23
delight,délice,35
deliver,livrer,88
demand,demande,38
denied,refusé,41
depart,partir,36
desert,désert,24
deserve,mériter,53
desire,le désir,171
despair,désespoir,29
desperate,désespéré,41
despite,malgré,42
device,dispositif,17
devil,diable,129
devise,concevoir,37
didst,didst,178
dinner,dîner,24
discourse,discours,31
discover,découvrir,31
disgrace,disgrâce,33
dishonour,déshonorer,33
dispatch,envoi,32
displeasure,mécontentement,23
disposition,disposition,23
distributed,distribué,442
divine,Divin,29
doctor,docteur,43
doing,Faire,51
dolabella,Dolabella,6
doors,des portes,35
double,double,66
doubt,doute,117
download,Télécharger,221
dramatis,dramatis,36
drawn,tiré,59
dread,crainte,43
dreadful,horrible,57
dream,rêver,62
dreams,rêves,27
drink,boisson,102
drops,gouttes,43
drown,noyer,39
drums,tambours,22
drunk,ivre,39
duncan,Duncan,10
durst,durst,49
dwell,habiter,30
dying,en train de mourir,30
early,de bonne heure,39
earth,Terre,139
edmund,Edmund,25
effect,effet,43
egypt,Egypte,15
either,Soit,152
elbow,coude,6
elder,aîné,28
embrace,embrasse,53
emilia,Émilie,5
emperor,empereur,48
empty,vide,39
encounter,rencontre,40
endure,supporter,64
enemies,ennemis,35
enemy,ennemi,78
enjoy,prendre plaisir,38
enobarbus,énobarbus,18
enough,assez,155
enter,entrer,2013
entertain,divertir,35
entertainment,divertissement,18
entreat,supplier,99
equal,égal,43
estate,biens,28
eternal,éternel,34
every,chaque,491
everything,tout,35
excellent,excellent,92
except,sauf,33
excuse,excuse,57
execution,exécution,25
exeter,Exeter,18
exeunt,sortir,841
express,Express,32
faces,visages,22
faint,perdre connaissance,26
fairy,Fée,43
faith,Foi,75
falls,des chutes,47
false,faux,217
familiar,familier,29
fancy,fantaisie,22
farewell,adieu,41
farther,plus loin,27
fashion,mode,55
fatal,fatal,39
father,père,404
fault,faute,89
favour,favoriser,65
fearful,craintif,76
fears,peurs,47
feast,le banquet,55
feeble,faible,19
fellow,compagnon,136
fenton,Fenton,7
ferdinand,Ferdinand,7
fetch,chercher,120
field,champ,79
fiend,démon,36
fierce,féroce,37
fiery,ardent,43
fight,bats toi,158
figure,figure,27
finds,trouve,37
finger,doigt,40
first,première,988
flatter,flatter,32
flesh,la chair,86
flies,mouches,35
flight,vol,21
flood,inonder,23
flourish,fleurir,35
flower,fleur,19
flowers,fleurs,24
follow,suivre,233
folly,folie,35
foolish,insensé,83
fools,imbéciles,63
forbear,ancêtre,27
forbid,interdire,43
force,Obliger,79
forces,les forces,35
forest,forêt,52
forget,oublier,77
former,ancien,59
forsooth,en vérité,0
forth,en avant,229
fortune,fortune,192
forward,vers l'avant,42
fought,combattu,44
found,a trouvé,185
fourth,Quatrième,39
frame,Cadre,36
france,France,149
freely,librement,36
french,français,179
fresh,Frais,78
friend,ami,166
frown,froncer les sourcils,25
fruit,fruit,26
further,plus loin,122
gallant,galant,47
garden,jardin,32
gates,portes,56
gaunt,décharné,16
general,général,139
gentle,doux,336
ghost,fantôme,34
given,donné,172
giving,donnant,41
glass,verre,32
glorious,glorieux,37
glory,gloire,63
going,Aller,67
golden,d'or,90
goodness,la bonté,36
gower,gower,10
grace,la grâce,345
grant,subvention,91
grave,la tombe,82
great,génial,828
green,vert,55
greet,saluer,40
grief,douleur,116
grieve,pleurer,37
gross,brut,44
ground,sol,64
grown,grandi,55
guard,garde,75
guess,devine,33
guilty,coupable,50
habit,habitude,25
hands,mains,167
hanging,pendaison,27
hangs,bloque,35
happiness,bonheur,33
happy,heureux,172
haste,hâte,80
hateful,odieux,38
having,ayant,144
hazard,danger,34
heads,têtes,60
health,santé,52
heard,entendu,298
heart,cœur,528
heaven,paradis,356
heavy,lourd,139
hector,Hector,67
heels,talons,30
hence,Par conséquent,150
henceforth,désormais,38
hereafter,"ci-après, par la suite",17
herself,se,56
highness,altesse,96
holds,tient,77
hollow,creux,41
honest,honnête,213
horse,cheval,105
hostess,hôtesse,21
hours,heures,87
house,maison,273
hubert,Hubert,11
humble,humble,56
humour,humour,62
hundred,cent,104
husband,mari,126
ignorant,ignorant,39
image,image,38
includes,comprend,223
indeed,En effet,147
infinite,infini,30
innocent,innocent,41
instant,instant,45
intend,avoir l'intention,43
intent,intention,26
issue,problème,78
itself,lui-même,139
jealous,jaloux,39
jewel,bijou,36
judge,juge,44
judgment,jugement,53
julia,Julia,20
justice,Justice,88
keeps,garde,70
kindness,la gentillesse,25
kingdom,Royaume,44
kings,rois,56
knave,fripon,62
kneel,s'agenouiller,40
knees,les genoux,26
knife,couteau,23
knight,Chevalier,41
knock,frappe,50
knowing,connaissance,42
knowledge,connaissance,50
known,connu,137
knows,sait,178
labour,la main d'oeuvre,48
ladies,Dames,62
ladyship,Madame,21
lands,terres,30
large,grand,56
laugh,rire,66
launce,lancer,4
lawful,légitime,50
learn,apprendre,72
learned,appris,44
least,moins,67
leave,laisser,522
leisure,loisir,35
leontes,leontes,12
letter,lettre,116
liberty,liberté,23
library,bibliothèque,7
liege,Liege,6
lieutenant,lieutenant,22
light,lumière,145
limbs,membres,29
little,peu,406
lives,vies,131
living,vivant,82
longer,plus long,79
looks,regards,142
loose,ample,33
lords,seigneurs,118
lordship,seigneurie,63
lorenzo,Lorenzo,14
lovely,charmant,51
lovers,les amoureux,38
loves,aime,153
loving,aimant,106
lucentio,Lucentio,27
machine,machine,223
madness,la démence,32
maiden,jeune fille,34
maids,servantes,23
maintain,maintenir,35
majesty,majesté,103
makes,fait du,344
making,fabrication,71
malice,malice,49
manner,manière,64
march,Mars,75
marcius,Marcius,38
marcus,Marcus,30
margaret,margaret,41
maria,maria,23
mariana,Mariana,7
marriage,mariage,57
marry,marier,110
master,Maître,506
match,rencontre,45
matter,matière,143
meaning,sens,32
means,veux dire,200
meant,signifiait,40
measure,mesure,72
meeting,réunion,35
membership,adhésion,0
memory,Mémoire,33
merchant,marchande,21
mercy,pitié,93
merit,mérite,32
merry,joyeux,103
messenger,Messager,98
midnight,minuit,19
might,pourrait,458
mighty,puissant,99
milan,Milan,11
minds,esprits,37
minister,ministre,27
miranda,Miranda,3
mirth,gaieté,21
mischief,sottises,23
misery,misère,16
mistake,erreur,29
mistress,maîtresse,257
modest,modeste,31
money,argent,98
monster,monstre,20
month,mois,23
morning,Matin,69
morrow,demain,19
mortal,mortel,84
mother,mère,161
motion,mouvement,48
mouth,bouche,64
mowbray,mowbray,8
murder,meurtre,44
murther,aller plus loin,21
music,la musique,96
myself,moi même,305
naked,nu,39
names,des noms,25
native,originaire de,42
natural,Naturel,51
nature,la nature,218
needs,Besoins,141
neighbour,voisine,27
neither,ni,118
never,jamais,959
niece,nièce,24
night,nuit,274
noble,noble,574
noise,bruit,72
nothing,rien,436
nought,néant,45
number,nombre,36
nurse,infirmière,25
oaths,serments,36
obedience,obéissance,21
oberon,Oberon,8
object,objet,26
occasion,occasion,55
offence,infraction,51
offend,offenser,48
offer,offre,68
office,Bureau,70
often,souvent,119
oliver,oliver,8
opinion,opinion,45
order,ordre,67
orlando,orlando,14
other,autre,555
others,autres,333
ourselves,nous-mêmes,72
outward,vers l'extérieur,45
oxford,Oxford,13
padua,Padoue,11
pains,des douleurs,45
painted,peint,45
painter,peintre,8
palace,palais,131
pandarus,Pandarus,15
paper,papier,50
pardon,pardon,191
paris,Paris,48
parolles,parolles,14
parted,séparé,33
particular,particulier,41
partly,partiellement,33
parts,les pièces,74
party,fête,38
passage,passage,29
passion,la passion,67
patience,la patience,68
patient,patient,36
paulina,paulina,5
peace,paix,186
pedro,pedro,8
people,gens,98
perceive,apercevoir,84
percy,Percy,26
perfect,parfait,43
perhaps,peut-être,33
peril,péril,24
permission,autorisation,1
person,la personne,76
personal,personnel,233
phebe,phebe,6
philip,Philippe,9
picture,image,20
piece,pièce,77
pistol,pistolet,24
place,endroit,233
plague,peste,82
plain,plaine,86
plead,plaider,41
please,S'il vous plaît,339
pleasure,plaisir,85
pluck,cueillir,106
poins,poins,12
point,point,92
poison,poison,52
policy,politique,26
polixenes,polixènes,10
pompey,pompey,40
porter,porter,15
possible,possible,27
posthumus,posthume,24
pound,livre,40
power,Puissance,209
practice,entraine toi,24
praise,louange,123
prayers,prières,49
precious,précieux,69
prepare,préparer,52
presence,présence,67
present,présent,203
pretty,jolie,101
pride,fierté,58
priest,prêtre,30
prince,prince,332
prison,prison,33
private,privé,54
prize,prix,25
proceed,procéder,33
proclaim,proclamer,37
profit,profit,27
prohibited,interdit,221
project,projet,244
prologue,prologue,21
promise,promettre,70
proof,preuve,42
proper,correct,60
protector,protecteur,22
protest,manifestation,30
proud,fier,159
prove,prouver,222
provided,à condition de,247
public,Publique,55
purpose,objectif,117
purse,bourse,36
quality,qualité,28
quarrel,querelle,66
queen,reine,466
question,question,93
quick,rapide,62
quiet,silencieux,51
quite,assez,69
quoth,quoth,65
raise,élever,45
ransom,une rançon,34
rascal,coquin,22
rather,plutôt,272
readable,lisible,223
ready,prêt,80
realm,domaine,25
reason,raison,179
receive,recevoir,87
regard,qui concerne,28
reign,règne,21
reignier,règne,8
remain,rester,45
remedy,remède,12
remember,rappelles toi,137
render,rendre,39
repair,réparation,36
repent,se repentir,39
report,rapport,94
reputation,réputation,23
request,demande,32
respect,le respect,67
return,revenir,135
revenge,vengeance,80
reverence,révérence,20
revolt,révolte,23
right,droite,207
rivers,rivières,14
rogue,coquin,20
rotten,pourri,33
rough,rugueux,52
round,rond,53
royal,Royal,200
sacred,sacré,47
safety,sécurité,41
saint,Saint,107
salerio,salerio,7
satisfied,satisfait,13
saying,en disant,43
scarce,rare,69
scene,scène,753
scorn,mépris,70
search,chercher,29
season,saison,21
second,seconde,563
secret,secret,52
seeing,voyant,40
senate,sénat,28
senator,sénateur,3
sense,sens,72
sentence,phrase,27
servant,serviteur,129
serve,servir,157
service,un service,332
seven,Sept,62
several,nombreuses,79
shadow,ombre,48
shake,secouer,90
shall,doit,3473
shame,la honte,158
shape,forme,54
sharp,tranchant,60
shepherd,berger,27
shine,éclat,28
shore,rive,19
short,court,64
shortly,prochainement,29
should,devrait,1535
shows,montre,84
sickness,maladie,34
sight,vue,94
silence,silence,41
silver,argent,43
simple,Facile,73
since,depuis,410
single,Célibataire,54
sirrah,sirrah,13
sister,sœur,77
skill,compétence,25
slain,tué,51
slander,calomnie,31
slave,esclave,46
sleep,sommeil,130
slender,mince,23
small,petit,84
smell,odeur,42
smile,sourire,50
soldier,soldat,66
solemn,solennel,39
somerset,somerset,37
something,quelque chose,155
sometime,parfois,73
sooner,plus tôt,51
soothsayer,devin,8
sorrow,chagrin,118
sorry,Pardon,75
sought,recherché,32
souls,âmes,65
sound,du son,130
sovereign,souverain,67
spare,de rechange,55
speak,parler,803
speaks,parle,98
special,spécial,36
speech,discours,62
speed,la vitesse,73
spend,dépenser,60
spirit,esprit,147
spite,dépit,41
spoke,parlait,123
sport,sport,66
spring,printemps,34
staff,Personnel,19
stain,tache,34
stand,supporter,469
stars,étoiles,38
state,Etat,166
steal,voler,70
steel,acier,32
steward,intendant,15
still,encore,391
stomach,estomac,16
stone,calcul,22
stood,se tenait,82
store,boutique,24
storm,orage,31
story,récit,41
straight,tout droit,76
strange,étrange,177
street,rue,56
strength,force,78
strike,la grève,118
stroke,accident vasculaire cérébral,31
strong,fort,136
struck,frappé,64
study,étude,41
stuff,des trucs,38
subject,matière,67
substance,substance,26
success,Succès,21
sudden,soudain,63
suddenly,tout à coup,30
suffer,souffrir,70
suffolk,suffolk,46
summer,été,41
supper,souper,22
surely,sûrement,27
surrey,Surrey,12
suspect,suspect,33
swear,jurer,197
sweat,transpiration,27
sweet,sucré,707
swift,rapide,56
sword,épée,170
swore,juré,44
sworn,juré,98
syracuse,Syracuse,22
table,table,29
tailor,tailleur,18
taken,pris,69
talbot,talbot,50
tarry,goudronneux,24
taste,goût,59
taught,enseigné,46
teach,enseigner,97
tears,larmes,150
tedious,fastidieux,36
teeth,les dents,29
tells,raconte,41
tempest,tempête,30
tender,soumissionner,123
terms,termes,45
thank,remercier,288
their,leur,2076
themselves,se,94
there,Là,1367
therefore,par conséquent,459
therein,la bride,47
these,celles-ci,1252
thief,voleur,26
thing,chose,251
think,pense,862
third,troisième,218
thomas,Thomas,57
those,ceux,537
though,bien que,611
thought,pensée,285
thrive,prospérer,30
throat,gorge,24
throne,trône,22
through,par,244
throw,jeter,99
thrust,poussée,51
thunder,tonnerre,31
times,fois,158
title,Titre,64
together,ensemble,94
tongue,langue,231
tonight,ce soir,20
touch,toucher,94
toward,vers,92
tower,la tour,28
train,train,46
traitor,traitre,53
tread,bande de roulement,34
treason,trahison,45
treasure,Trésor,33
trial,procès,31
tribunes,tribunes,24
trick,tour,36
triumph,triomphe,24
trouble,difficulté,60
truly,vraiment,81
trumpet,trompette,53
trust,confiance,142
truth,vérité,165
turns,se tourne,49
twice,deux fois,61
tyrant,tyran,28
ulysses,Ulysse,16
uncle,oncle,89
under,sous,286
understand,comprendre,83
undertake,entreprendre,40
undone,défait,23
unhappy,malheureux,28
unknown,inconnue,26
unless,sauf si,151
until,jusqu'à,76
unworthy,indigne,35
utter,prononcer,32
valentine,Valentin,29
valiant,vaillant,110
valour,valeur,50
vantage,avantage,20
vengeance,vengeance,38
venice,venise,24
version,version,222
victory,la victoire,15
villain,scélérat,70
viola,alto,8
violent,violent,37
virtue,vertu,130
visit,visite,54
voice,voix,85
walls,des murs,52
warlike,guerrier,57
warrant,mandat,140
waste,déchets,35
watch,regarder,77
water,eau,83
wealth,richesse,51
weapons,armes,20
weary,se lasser,58
weeds,mauvaises herbes,26
weeping,larmes,34
weight,poids,31
welcome,Bienvenue,154
wench,jeune fille,17
whence,d'où,71
where,où,1151
wherein,où,123
whether,qu'il s'agisse,95
which,lequel,2154
while,tandis que,192
whither,où,71
whole,entier,108
whore,putain,12
whose,dont,612
widow,veuve,49
willing,prêt,30
window,la fenêtre,21
wings,ailes,33
winter,hiver,32
wisdom,sagesse,66
witch,sorcière,21
withal,avec,36
within,dans,283
without,sans pour autant,349
witness,témoin,93
wives,épouses,29
wolsey,Wolsey,12
woman,femme,153
wonder,merveille,76
works,travaux,245
world,monde,568
worse,pire,112
worship,culte,58
worth,vaut,162
would,aurait,2240
wound,blessure,46
wounded,blessés,28
wrath,colère,22
wretch,misérable,22
write,écrire,107
written,écrit,30
wrong,faux,116
wrought,forgé,35
yield,rendement,113
yonder,là-bas,53
young,Jeune,404
yours,le tiens,79
yourself,toi même,152
youth,jeunesse,145
